dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-2026-200191-37,ocds-dgv273-seacev3-1250103,PE-CONSUCODE-200191,CP SER-SM-16-2026-HDNA-1,2026-06-09T09:27:00-05:00
ocds-dgv273-seacev3-1246557,ocds-dgv273-seacev3-1223446,PE-CONSUCODE-204448,LP-ABR-2-2026--ATU-1,2026-06-08T23:56:00-05:00
ocds-dgv273-seacev3-1245462,ocds-dgv273-seacev3-1221879,PE-CONSUCODE-200242,LP-ABR-1-2026-IREN NORTE/CS-1,2026-06-03T12:38:00-05:00
ocds-dgv273-seacev3-1225647,ocds-dgv273-seacev3-1236361,PE-CONSUCODE-598,LP-ABR-1-2026-MDO/CS-1,2026-06-17T18:38:00-05:00
ocds-dgv273-seacev3-1223060,ocds-dgv273-seacev3-1245293,PE-CONSUCODE-203306,CP SER-SM-3-2026-MDM/DEC-1,2026-06-05T22:12:00-05:00
ocds-dgv273-seacev3-1229159,ocds-dgv273-seacev3-1234483,PE-CONSUCODE-201525,LP-SM-2-2026-SUNEDU-1,2026-06-26T12:43:00-05:00
ocds-dgv273-seacev3-1246871,ocds-dgv273-seacev3-2026-2005-32,PE-CONSUCODE-2005,CP SER-SM-7-2026-SAT-1,2026-06-11T18:34:00-05:00
ocds-dgv273-seacev3-1227416,ocds-dgv273-seacev3-1241032,PE-CONSUCODE-2378,CP-ABR-6-2026-EPSEL S.A.-1,2026-06-22T12:41:00-05:00
ocds-dgv273-seacev3-1227215,ocds-dgv273-seacev3-1240801,PE-CONSUCODE-1470,LP-ABR-3-2026-MDP/CS-1,2026-06-26T17:42:00-05:00
ocds-dgv273-seacev3-1227533,ocds-dgv273-seacev3-1230560,PE-CONSUCODE-1583,LP-ABR-3-2026-CS-MDP-I-1,2026-06-22T16:38:00-05:00
ocds-dgv273-seacev3-1225385,ocds-dgv273-seacev3-1231108,PE-CONSUCODE-645,LP-SM-1-2026-MDCH/CS-1,2026-06-15T16:23:00-05:00
ocds-dgv273-seacev3-1226185,ocds-dgv273-seacev3-1236368,PE-CONSUCODE-598,LP-ABR-2-2026-MDO/CS-1,2026-06-17T18:38:00-05:00
ocds-dgv273-seacev3-1242565,ocds-dgv273-seacev3-1229922,PE-CONSUCODE-10248,CP-ABR-51-2026-MGP/DIRCOMAR-1,2026-06-30T22:07:00-05:00
ocds-dgv273-seacev3-1235809,ocds-dgv273-seacev3-1227837,PE-CONSUCODE-710,LP-ABR-2-2026-MDLL/CS-2-1,2026-06-23T10:07:00-05:00
ocds-dgv273-seacev3-1239467,ocds-dgv273-seacev3-1222439,PE-CONSUCODE-189,CP-ABR-2-2026-MPC/CS-2,2026-06-05T14:46:00-05:00
ocds-dgv273-seacev3-2026-200195-16,ocds-dgv273-seacev3-1245394,PE-CONSUCODE-200195,CP SER-SM-4-2026-ELECTRONORTE S.A.-1,2026-06-10T18:25:00-05:00
ocds-dgv273-seacev3-1248136,ocds-dgv273-seacev3-1228527,PE-CONSUCODE-10560,LP-ABR-3-2026-HAS-C-LP-1,2026-06-24T18:19:00-05:00
ocds-dgv273-seacev3-1236311,ocds-dgv273-seacev3-1225659,PE-CONSUCODE-204386,LP-ABR-1-2026-UE SALUD CAJAMARCA-1,2026-06-16T11:18:00-05:00
